iter	Passed	Remaining
0	144	143921
1	146	73352
2	149	49817
3	152	38051
4	156	31062
5	159	26350
6	162	22983
7	164	20453
8	167	18475
9	170	16902
10	173	15626
11	176	14554
12	179	13640
13	182	12863
14	185	12180
15	188	11595
16	191	11072
17	194	10608
18	197	10191
19	200	9814
20	203	9472
21	206	9163
22	209	8879
23	211	8614
24	214	8373
25	217	8155
26	220	7950
27	223	7759
28	226	7581
29	229	7414
30	232	7255
31	235	7110
32	238	6977
33	241	6848
34	243	6723
35	246	6602
36	249	6490
37	252	6385
38	255	6285
39	257	6190
40	260	6098
41	263	6010
42	266	5929
43	269	5852
44	272	5775
45	274	5701
46	277	5631
47	280	5564
48	283	5500
49	286	5438
50	288	5377
51	291	5318
52	294	5263
53	297	5208
54	300	5157
55	302	5107
56	305	5059
57	308	5013
58	311	4967
59	314	4924
60	317	4882
61	319	4840
62	322	4801
63	325	4762
64	328	4725
65	331	4688
66	334	4651
67	336	4617
68	339	4583
69	342	4550
70	345	4516
71	348	4486
72	350	4455
73	353	4428
74	356	4400
75	359	4371
76	362	4342
77	365	4317
78	368	4291
79	370	4265
80	373	4240
81	376	4215
82	379	4192
83	382	4168
84	385	4145
85	387	4122
86	390	4101
87	393	4078
88	396	4058
89	399	4037
90	402	4016
91	404	3996
92	407	3974
93	410	3956
94	413	3937
95	416	3918
96	418	3900
97	421	3881
98	424	3863
99	427	3846
100	430	3829
101	433	3812
102	435	3795
103	438	3778
104	441	3765
105	444	3751
106	447	3736
107	450	3720
108	453	3705
109	456	3690
110	458	3676
111	461	3661
112	464	3647
113	467	3633
114	470	3619
115	473	3605
116	475	3591
117	478	3578
118	481	3564
119	484	3554
120	487	3542
121	490	3530
122	493	3518
123	496	3505
124	498	3492
125	501	3480
126	504	3468
127	507	3455
128	510	3443
129	513	3433
130	516	3423
131	518	3412
132	521	3401
133	524	3389
134	527	3378
135	530	3367
136	532	3357
137	535	3346
138	538	3336
139	541	3326
140	544	3315
141	547	3305
142	549	3294
143	552	3284
144	555	3274
145	558	3264
146	561	3255
147	563	3246
148	566	3237
149	569	3227
150	572	3218
151	575	3209
152	577	3199
153	580	3190
154	583	3180
155	586	3171
156	589	3163
157	591	3154
158	594	3145
159	597	3136
160	600	3128
161	602	3118
162	605	3111
163	608	3103
164	611	3095
165	614	3088
166	617	3080
167	620	3073
168	623	3065
169	626	3058
170	629	3051
171	632	3043
172	635	3036
173	638	3029
174	641	3022
175	643	3014
176	646	3006
177	649	2999
178	652	2991
179	655	2984
