Model Combination,R² Score,MAE,MSE,RMSE
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912771738552872,3.891384486782571,35.20350741309225,5.933254369491691
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912771720703618,3.8914104739758306,35.203514616679044,5.93325497654357
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912771703220962,3.891323603710959,35.20352167231465,5.933255571127427
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912770985431046,3.8911360269367483,35.20381135735665,5.933279983057992
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912770959922571,3.891090844964245,35.203821652045626,5.9332808505956995
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912770957060798,3.8911621069335474,35.203822806997266,5.933280947923945
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912769615783024,3.8905980318929614,35.204364118738624,5.9333265643093185
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912768776172837,3.890372192921634,35.204702967902136,5.933355118977975
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912766505732611,3.8903172433220448,35.205619270233726,5.933432334680638
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912766353430974,3.890177046869273,35.205680735998314,5.9334375142912155
